name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EEG EKG 01-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	bad	n/a
EEG EKG 02-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	bad	n/a
EEG LST 01-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	bad	n/a
EEG LST 02-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	bad	n/a
EEG LST 03-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	bad	n/a
EEG LST 04-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	bad	n/a
EEG MST 01-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG MST 02-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG MST 03-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG MST 04-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG OC 03-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG OC 04-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG OC 05-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG OC 06-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG PST 01-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG PST 02-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG PST 03-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG PST 04-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG PST 05-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG PST 06-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG RG 01-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG RG 02-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG RG 03-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG RG 04-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG RG 05-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
EEG RG 06-Ref	ECOG	µV	0.0	256.0	Electrocorticography	512.0	good	n/a
