name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EKG1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EKG2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LAF1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LAF2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LAF3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LAF4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LAF5	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LAF6	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LAT1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LAT2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LAT3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LAT4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDA1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDA2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDA3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDA4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDA5	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDA6	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDH1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDH2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDH3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDH4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDH5	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LDH6	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LMT1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LMT2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LMT3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LMT4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LP3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LP4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LP5	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LP6	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LP7	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LP8	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPF1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPF2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPF3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPF4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPF5	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPF6	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPF7	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPF8	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPT1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPT2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPT3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
LPT4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RAF1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RAF2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RAF3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RAF4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RAF5	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RAF6	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RAT1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RAT2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RAT3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RAT4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RDA1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RDA2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
RDA3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
RDA4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
RDH1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RDH2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RDH3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RDH4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RDH5	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RDH6	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RMT1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RMT2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RMT3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RMT4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RP1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RP2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RP3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RP4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RP5	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RP6	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPF1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPF2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPF3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPF4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPF5	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPF6	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPF7	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPF8	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPT1	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPT2	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPT3	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
RPT4	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
